TransactionID,AccountID,TransactionDate,Income,Expense,Transaction Type,Expense Type,Expense Category,IncomeSource
68,101,03/11/2022,0,12,Expense,Netflix,Leisure,N/A
69,101,03/12/2022,450,0,Income,N/A,N/A,Uber Courier
70,101,03/13/2022,0,3,Expense,Hulu Subscription,Leisure,N/A
71,101,03/14/2022,0,60,Expense,Groceries,Household,N/A
72,101,03/15/2022,0,25,Expense,Monthly Gas Bill,Household,N/A
73,101,03/16/2022,0,60,Expense,Groceries,Household,N/A
74,101,03/17/2022,146,0,Income,N/A,N/A,Waiting Tables
75,101,03/18/2022,0,60,Expense,Playstation Plus,Leisure,N/A
76,101,03/19/2022,0,25,Expense,Gym,Miscelleanous,N/A
77,101,03/20/2022,0,48,Expense,Monthly Electricity Bill,Household,N/A
78,101,03/21/2022,0,15,Expense,Amazon Prime Subscription,Leisure,N/A
79,101,03/22/2022,152,0,Income,N/A,N/A,Waiting Tables
80,101,03/24/2022,155,0,Income,N/A,N/A,Waiting Tables
81,101,03/28/2022,153,0,Income,N/A,N/A,Waiting Tables
82,101,03/30/2022,150,0,Income,N/A,N/A,Waiting Tables
83,101,03/31/2022,154,0,Income,N/A,N/A,Waiting Tables
84,101,04/01/2022,0,800,Expense,Rent,Household,N/A
85,101,04/02/2022,55,0,Income,N/A,N/A,Waiting Tables
86,101,04/03/2022,47,0,Income,N/A,N/A,Waiting Tables
87,101,04/04/2022,53,0,Income,N/A,N/A,Waiting Tables
88,101,04/05/2022,300,0,Income,N/A,N/A,Uber Courier
89,101,04/06/2022,58,0,Income,N/A,N/A,Waiting Tables
90,101,04/07/2022,50,0,Income,N/A,N/A,Waiting Tables
91,101,04/08/2022,0,99,Expense,Wifi + Phone Bill,Household,N/A
92,101,04/09/2022,60,0,Income,N/A,N/A,Waiting Tables
93,101,04/10/2022,56,0,Income,N/A,N/A,Waiting Tables
94,101,04/11/2022,52,0,Income,N/A,N/A,Waiting Tables
95,101,04/12/2022,45,0,Income,N/A,N/A,Waiting Tables
96,101,04/13/2022,0,60,Expense,Groceries,Household,N/A
97,101,04/14/2022,0,30,Expense,Oil Change for Car,Automobile,N/A
98,101,04/15/2022,0,45,Expense,Monthly Gas Bill,Household,N/A
99,101,04/16/2022,0,3,Expense,Hulu Subscription,Leisure,N/A
100,101,04/17/2022,0,25,Expense,Gym,Miscelleanous,N/A
101,101,04/18/2022,300,0,Income,N/A,N/A,Uber Courier
102,101,04/19/2022,0,60,Expense,Groceries,Household,N/A
103,101,04/25/2022,0,50,Expense,Monthly Electricity Bill,Household,N/A
104,101,04/27/2022,0,15,Expense,Prime Subcription,Leisure,N/A
105,101,04/28/2022,0,25,Expense,Gas Refill for Car,Automobile,N/A
106,101,04/29/2022,0,12,Expense,Netflix,Leisure,N/A
107,101,04/30/2022,0,60,Expense,Groceries,Household,N/A
108,101,05/01/2022,1800,0,Income,N/A,N/A,Data Analyst Salary
109,101,05/02/2022,0,1500,Expense,Rent,Household,N/A
110,101,05/03/2022,0,99,Expense,Wifi + Phone Bill,Household,N/A
111,101,05/04/2022,0,60,Expense,Groceries,Household,N/A
112,101,05/05/2022,0,35,Expense,Gas Refill for Car,Automobile,N/A
113,101,05/06/2022,0,45,Expense,Monthly Gas Bill,Household,N/A
114,101,05/07/2022,0,3,Expense,Hulu Subscription,Leisure,N/A
115,101,05/08/2022,0,60,Expense,Groceries,Household,N/A
116,101,05/09/2022,1800,0,Income,N/A,N/A,Data Analyst Salary
117,101,05/10/2022,0,48,Expense,Monthly Electricity Bill,Household,N/A
118,101,05/12/2022,0,25,Expense,Gym,Miscelleanous,N/A
119,101,05/14/2022,0,15,Expense,Prime Subscription,Leisure,N/A
120,101,05/16/2022,0,60,Expense,Groceries,Household,N/A
121,101,05/18/2022,0,30,Expense,Gas Refill for Car,Automobile,N/A
122,101,05/22/2022,0,12,Expense,Netflix,Leisure,N/A
123,101,05/27/2022,0,60,Expense,Groceries,Household,N/A
124,101,05/29/2022,0,35,Expense,Gas Refill for Car,Automobile,N/A
125,101,05/31/2022,0,25,Expense,Gas Refill for Car,Automobile,N/A
126,101,06/01/2022,1800,0,Income,N/A,N/A,Data Analyst Salary
127,101,06/02/2022,0,1500,Expense,Rent,Household,N/A
128,101,06/03/2022,0,300,Expense,Plumbing Maintenance,Household,N/A
129,101,06/04/2022,0,400,Expense,Electrician,Household,N/A
130,101,06/05/2022,0,150,Expense,Painting,Household,N/A
131,101,06/06/2022,0,60,Expense,Groceries,Household,N/A
132,101,06/07/2022,0,40,Expense,Monthly Gas Bill,Household,N/A
133,101,06/08/2022,0,45,Expense,Monthly Electricity Bill,Household,N/A
134,101,06/09/2022,0,25,Expense,Gym Membership,Miscelleanous,N/A
135,101,06/10/2022,0,3,Expense,Hulu Subscription,Leisure,N/A
136,101,06/11/2022,0,80,Expense,Furntiture Repair,Household,N/A
137,101,06/12/2022,0,20,Expense,Gas Refill for Car,Automobile,N/A
138,101,06/13/2022,0,12,Expense,Netflix Subscription,Leisure,N/A
139,101,06/14/2022,0,15,Expense,Prime Subscription,Leisure,N/A
140,101,06/15/2022,0,30,Expense,Roof Repair,Household,N/A
141,101,06/16/2022,1800,0,Income,N/A,N/A,Data Analyst Salary
142,101,06/17/2022,0,30,Expense,Bedsheets,Miscelleanous,N/A
143,101,06/18/2022,0,12,Expense,Notebooks,Miscelleanous,N/A
144,101,06/19/2022,0,6,Expense,Pens,Miscelleanous,N/A
145,101,06/20/2022,0,5,Expense,Pencils,Miscelleanous,N/A
146,101,06/21/2022,0,450,Expense,Standing Desk,Miscelleanous,N/A
147,101,06/22/2022,0,1200,Expense,New Computer,Miscelleanous,N/A
148,101,06/23/2022,0,15,Expense,Mouse Pad,Miscelleanous,N/A
149,101,06/24/2022,0,50,Expense,Keyboard,Miscelleanous,N/A
150,101,06/25/2022,0,70,Expense,Ergonomic Chair,Miscelleanous,N/A
151,101,06/26/2022,0,10,Expense,Cable Organizer,Miscelleanous,N/A
152,101,06/27/2022,0,30,Expense,Dining Out,Leisure,N/A
153,101,06/28/2022,0,25,Expense,Gas Refill for Car,Automobile,N/A
154,101,06/28/2022,0,60,Expense,Parking Ticket,Automobile,N/A
155,101,06/28/2022,0,50,Expense,Dining Out,Leisure,N/A
156,101,06/28/2022,0,70,Expense,Dinner Date,Leisure,N/A
157,101,06/29/2022,0,20,Expense,Fast Food,Leisure,N/A
158,101,06/29/2022,0,35,Expense,Gas Refill for Car,Automobile,N/A
159,101,06/29/2022,0,100,Expense,Dining Out,Leisure,N/A
160,101,06/30/2022,0,10,Expense,Coffee Shop,Leisure,N/A
161,101,06/30/2022,0,40,Expense,Sunday Brunch,Leisure,N/A
162,101,06/30/2022,0,20,Expense,Car Wash,Automobile,N/A
